ano;classificacao_do_filme;diretor;duracao;imdb_link;nome;nota;popularidade_score;popularidade_tendencia;poster_link;sinopse
2022;Not rated;James Nunn;1h 27m;https://www.imdb.com/title/tt12550376/;Shark Bait;4.3;61;popularity-up;https://www.imdb.com/title/tt12550376/mediaviewer/rm3472167425/?ref_=tt_ov_i;A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk.
2022;PG-13;Sam Raimi;2h 6m;https://www.imdb.com/title/tt9419884/;Doctor Strange in the Multiverse of Madness;7.3;1;popularity-neutral;https://www.imdb.com/title/tt9419884/mediaviewer/rm339811841/?ref_=tt_ov_i;Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.
2022;Not rated;Hanna Bergholm;1h 26m;https://www.imdb.com/title/tt12519030/;Hatching;6.4;56;popularity-up;https://www.imdb.com/title/tt12519030/mediaviewer/rm844634113/?ref_=tt_ov_i;A young gymnast who tries desperately to please her demanding mother, discovers a strange egg. She hides it and keeps it warm, but when it hatches, what emerges shocks them all.
2022;Not Rated;Prashanth Neel;2h 48m;https://www.imdb.com/title/tt10698680/;K.G.F: Chapter 2;8.7;55;popularity-dow;https://www.imdb.com/title/tt10698680/mediaviewer/rm1822812417/?ref_=tt_ov_i;In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.
2019;PG;Michael Engler;2h 2m;https://www.imdb.com/title/tt6398184/;Downton Abbey;7.4;58;popularity-up;https://www.imdb.com/title/tt6398184/mediaviewer/rm2990120193/?ref_=tt_ov_i;The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.
2021;PG-13;Chloé Zhao;2h 36m;https://www.imdb.com/title/tt9032400/;Eternals;6.3;60;popularity-dow;https://www.imdb.com/title/tt9032400/mediaviewer/rm1516895489/?ref_=tt_ov_i;The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.
2019;R;Guy Ritchie;1h 53m;https://www.imdb.com/title/tt8367814/;The Gentlemen;7.8;59;popularity-dow;https://www.imdb.com/title/tt8367814/mediaviewer/rm1937148929/?ref_=tt_ov_i;An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.
2022;PG-13;Roland Emmerich;2h 10m;https://www.imdb.com/title/tt5834426/;Moonfall;5.2;57;popularity-dow;https://www.imdb.com/title/tt5834426/mediaviewer/rm3879723521/?ref_=tt_ov_i;A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.
2022;R;Joseph Kosinski;1h 46m;https://www.imdb.com/title/tt9783600/;Spiderhead;;50;popularity-up;https://www.imdb.com/title/tt9783600/mediaviewer/rm4200076033/?ref_=tt_ov_i;In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.
1998;R;Terry Gilliam;1h 58m;https://www.imdb.com/title/tt0120669/;Fear and Loathing in Las Vegas;7.5;52;popularity-up;https://www.imdb.com/title/tt0120669/mediaviewer/rm2647909376/?ref_=tt_ov_i;An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
2003;PG-13;Gore Verbinski;2h 23m;https://www.imdb.com/title/tt0325980/;Pirates of the Caribbean: The Curse of the Black Pearl;8.0;49;popularity-dow;https://www.imdb.com/title/tt0325980/mediaviewer/rm2487103488/?ref_=tt_ov_i;"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
2022;PG;Jim Archer;1h 30m;https://www.imdb.com/title/tt13270424/;Brian and Charles;8.3;54;popularity-up;https://www.imdb.com/title/tt13270424/mediaviewer/rm2522747649/?ref_=tt_ov_i;After a particularly harsh winter Brian goes into a deep depression
2022;R;Jeremiah Zagar;1h 57m;https://www.imdb.com/title/tt8009428/;Hustle;;53;popularity-dow;https://www.imdb.com/title/tt8009428/mediaviewer/rm1273697025/?ref_=tt_ov_i;A washed-up basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
2021;R;Lana Wachowski;2h 28m;https://www.imdb.com/title/tt10838180/;The Matrix Resurrections;5.7;47;popularity-up;https://www.imdb.com/title/tt10838180/mediaviewer/rm3704744193/?ref_=tt_ov_i;Return to a world of two realities: one, everyday life
1984;R;Mark L. Lester;1h 54m;https://www.imdb.com/title/tt0087262/;Firestarter;6.0;51;popularity-up;https://www.imdb.com/title/tt0087262/mediaviewer/rm256704512/?ref_=tt_ov_i;A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.
2021;PG-13;Shawn Levy;1h 55m;https://www.imdb.com/title/tt6264654/;Free Guy;7.1;100;popularity-dow;https://www.imdb.com/title/tt6264654/mediaviewer/rm2006762753/?ref_=tt_ov_i;A bank teller discovers that he's actually an NPC inside a brutal, open world video game.
2022;Not Rated;S.S. Rajamouli;3h 7m;https://www.imdb.com/title/tt8178634/;RRR;8.2;48;popularity-up;https://www.imdb.com/title/tt8178634/mediaviewer/rm1757810689/?ref_=tt_ov_i;A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920's.
2000;R;Mary Harron;1h 42m;https://www.imdb.com/title/tt0144084/;American Psycho;7.6;97;popularity-dow;https://www.imdb.com/title/tt0144084/mediaviewer/rm3296681472/?ref_=tt_ov_i;A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.
2021;R;James Gunn;2h 12m;https://www.imdb.com/title/tt6334354/;The Suicide Squad;7.2;96;popularity-dow;https://www.imdb.com/title/tt6334354/mediaviewer/rm662696705/?ref_=tt_ov_i;Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.
2020;R;Craig Zobel;1h 30m;https://www.imdb.com/title/tt8244784/;The Hunt;6.5;99;popularity-up;https://www.imdb.com/title/tt8244784/mediaviewer/rm4188322305/?ref_=tt_ov_i;Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.
2021;R;Joachim Trier;2h 8m;https://www.imdb.com/title/tt10370710/;The Worst Person in the World;7.9;98;popularity-up;https://www.imdb.com/title/tt10370710/mediaviewer/rm2792219649/?ref_=tt_ov_i;The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.
2021;R;Guillermo del Toro;2h 30m;https://www.imdb.com/title/tt7740496/;Nightmare Alley;7.1;95;popularity-dow;https://www.imdb.com/title/tt7740496/mediaviewer/rm749334273/?ref_=tt_ov_i;A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychiatrist bent on exposing him.
2022;TV-14;Sofia Alvarez;1h 46m;https://www.imdb.com/title/tt14506528/;Along for the Ride;6.0;94;popularity-dow;https://www.imdb.com/title/tt14506528/mediaviewer/rm644880641/?ref_=tt_ov_i;The summer before college Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on a nightly quest to help Auden experience the fun, carefree teen life she never knew she wanted.
2022;R;Jared Cohn;1h 36m;https://www.imdb.com/title/tt14849038/;Vendetta;3.8;92;popularity-up;https://www.imdb.com/title/tt14849038/mediaviewer/rm2997948929/?ref_=tt_ov_i;When his daughter is brutally murdered and legal justice looks unlikely, William Duncan takes the law into his own hands, setting out on a quest for retribution. After killing the street thug who was directly responsible for her death, he finds himself in the middle of a war with the thug's brother, Rory Fetter, and his gang, who are equally hell-bent on getting even ...
2022;Not rated;Anees Bazmee;2h 23m;https://www.imdb.com/title/tt6455162/;Bhool Bhulaiyaa 2;7.2;93;popularity-up;https://www.imdb.com/title/tt6455162/mediaviewer/rm1479613441/?ref_=tt_ov_i;A casual encounter between two strangers, Ruhaan and Reet, sends them to visit Reet's hometown in Rajasthan, where they uncover an old secret that results in panic.
2008;PG-13;Christopher Nolan;2h 32m;https://www.imdb.com/title/tt0468569/;The Dark Knight;9.0;91;popularity-dow;https://www.imdb.com/title/tt0468569/mediaviewer/rm4023877632/?ref_=tt_ov_i;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
2015;R;Robert Eggers;1h 32m;https://www.imdb.com/title/tt4263482/;The Witch;6.9;90;popularity-neutral;https://www.imdb.com/title/tt4263482/mediaviewer/rm2328686080/?ref_=tt_ov_i;A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.
2021;PG-13;Sian Heder;1h 51m;https://www.imdb.com/title/tt10366460/;CODA;8.0;89;popularity-dow;https://www.imdb.com/title/tt10366460/mediaviewer/rm759954177/?ref_=tt_ov_i;As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.
2019;R;Ari Aster;2h 28m;https://www.imdb.com/title/tt8772262/;Midsommar;7.1;88;popularity-up;https://www.imdb.com/title/tt8772262/mediaviewer/rm3772802304/?ref_=tt_ov_i;A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
2022;TV-G;Elizabeth Allen Rosenbaum;1h 52m;https://www.imdb.com/title/tt10160886/;Sneakerella;4.4;87;popularity-up;https://www.imdb.com/title/tt10160886/mediaviewer/rm1292312065/?ref_=tt_ov_i;A modern twist on Cinderella set in New York City's Sneaker culture.
2022;R;Matt Bettinelli-Olpin;1h 54m;https://www.imdb.com/title/tt11245972/;Scream;6.4;85;popularity-dow;https://www.imdb.com/title/tt11245972/mediaviewer/rm1059724033/?ref_=tt_ov_i;25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.
2023;Not rated;Greta Gerwig;;https://www.imdb.com/title/tt1517268/;Barbie;;83;popularity-up;https://www.imdb.com/title/tt1517268/mediaviewer/rm1288969473/?ref_=tt_ov_i;
2017;PG-13;Joachim Rønning;2h 9m;https://www.imdb.com/title/tt1790809/;Pirates of the Caribbean: Dead Men Tell No Tales;6.5;84;popularity-dow;https://www.imdb.com/title/tt1790809/mediaviewer/rm337719808/?ref_=tt_ov_i;Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
2023;Not rated;James Wan;;https://www.imdb.com/title/tt9663764/;Aquaman and the Lost Kingdom;;86;popularity-up;https://www.imdb.com/title/tt9663764/mediaviewer/rm3564946689/?ref_=tt_ov_i;Plot unknown. Sequel to the 2018 film 'Aquaman.'
2021;PG;Jared Bush;1h 42m;https://www.imdb.com/title/tt2953050/;Encanto;7.2;80;popularity-dow;https://www.imdb.com/title/tt2953050/mediaviewer/rm2541025281/?ref_=tt_ov_i;A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.
2021;R;Matthew Vaughn;2h 11m;https://www.imdb.com/title/tt6856242/;The King's Man;6.3;81;popularity-dow;https://www.imdb.com/title/tt6856242/mediaviewer/rm1942154753/?ref_=tt_ov_i;In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.
2022;PG-13;Reid Carolin;1h 41m;https://www.imdb.com/title/tt11252248/;Dog;6.5;79;popularity-up;https://www.imdb.com/title/tt11252248/mediaviewer/rm769452289/?ref_=tt_ov_i;Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.
2022;PG;Domee Shi;1h 40m;https://www.imdb.com/title/tt8097030/;Turning Red;7.0;82;popularity-dow;https://www.imdb.com/title/tt8097030/mediaviewer/rm1685446657/?ref_=tt_ov_i;A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.
2022;R;Nicholas Stoller;;https://www.imdb.com/title/tt9731598/;Bros;;77;popularity-up;https://www.imdb.com/title/tt9731598/mediaviewer/rm1346048769/?ref_=tt_ov_i;Two men with commitment problems attempt a relationship.
2022;TV-MA;Mehdi Avaz;1h 30m;https://www.imdb.com/title/tt13276352/;Toscana;5.8;78;popularity-up;https://www.imdb.com/title/tt13276352/mediaviewer/rm95624449/?ref_=tt_ov_i;When a Danish chef travels to Tuscany to sell his father's business, he meets a local woman who inspires him to rethink his approach to life and love.
2022;PG-13;Shawn Levy;1h 46m;https://www.imdb.com/title/tt2463208/;The Adam Project;6.7;75;popularity-dow;https://www.imdb.com/title/tt2463208/mediaviewer/rm2312247809/?ref_=tt_ov_i;After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.
2022;PG-13;Chris Sivertson;1h 29m;https://www.imdb.com/title/tt4624366/;Monstrous;4.6;76;popularity-up;https://www.imdb.com/title/tt4624366/mediaviewer/rm620698625/?ref_=tt_ov_i;Story centers on a traumatized woman fleeing from her abusive ex-husband with her 7-year-old son. In their new, remote sanctuary they find they have a bigger, more terrifying monster to deal with.
2021;Not rated;Rob Jabbaz;1h 39m;https://www.imdb.com/title/tt13872248/;The Sadness;6.5;71;popularity-up;https://www.imdb.com/title/tt13872248/mediaviewer/rm76215809/?ref_=tt_ov_i;A young couple trying to reunite amid a city ravaged by a plague that turns its victims into deranged, bloodthirsty sadists.
2022;Not rated;Debbie D'Souza;1h 29m;https://www.imdb.com/title/tt18924506/;2000 Mules;6.8;73;popularity-dow;https://www.imdb.com/title/tt18924506/mediaviewer/rm2931102209/?ref_=tt_ov_i;"""2000 Mules,"" a documentary film created by Dinesh D'Souza, exposes widespread, coordinated voter fraud in the 2020 election, sufficient to change the overall outcome."
1994;R;Frank Darabont;2h 22m;https://www.imdb.com/title/tt0111161/;The Shawshank Redemption;9.3;74;popularity-dow;https://www.imdb.com/title/tt0111161/mediaviewer/rm10105600/?ref_=tt_ov_i;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
2021;PG;Garth Jennings;1h 50m;https://www.imdb.com/title/tt6467266/;Sing 2;7.4;72;popularity-dow;https://www.imdb.com/title/tt6467266/mediaviewer/rm3770805761/?ref_=tt_ov_i;Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
2022;R;Machine Gun Kelly;1h 33m;https://www.imdb.com/title/tt15331186/;Good Mourning;3.7;70;popularity-up;https://www.imdb.com/title/tt15331186/mediaviewer/rm3880656641/?ref_=tt_ov_i;Follows London Clash, a movie star whose world is turned upside down when he must choose between pursuing his one true love and landing a life-changing, starring role in a major motion picture.
2015;TV-MA;Gaspar Noé;2h 15m;https://www.imdb.com/title/tt3774694/;Love;6.0;68;popularity-up;https://www.imdb.com/title/tt3774694/mediaviewer/rm626325248/?ref_=tt_ov_i;Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.
2019;PG-13;Anthony Russo;3h 1m;https://www.imdb.com/title/tt4154796/;Avengers: Endgame;8.4;67;popularity-dow;https://www.imdb.com/title/tt4154796/mediaviewer/rm2775147008/?ref_=tt_ov_i;After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.
